event,date,fight,actual_winner,method,mma_guru_pick,mma_guru_correct,mma_joey_pick,mma_joey_correct
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Carlos Prates vs Jack Della Maddalena,Carlos Prates,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Quillan Salkilld vs Beneil Dariush,Quillan Salkilld,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Steve Erceg vs Tim Elliott,Steve Erceg,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Marwan Rahiki vs Ollie Schmid,Marwan Rahiki,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Brando Pericic vs Shamil Gaziev,Brando Pericic,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Louie Sutherland vs Tai Tuivasa,Louie Sutherland,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Cam Rowston vs Robert Bryczek,Cam Rowston,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Junior Tafa vs Kevin Christian,Junior Tafa,KO/TKO,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Jacob Malkoun vs Gerald Meerschaert,Jacob Malkoun,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Colby Thicknesse vs Vince Morales,Colby Thicknesse,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Wes Schultz vs Ben Johnston,Wes Schultz,SUB,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Jonathan Micallef vs Themba Gorimbo,Jonathan Micallef,DEC,—,,—,
UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,Kody Steele vs Dom Mar Fan,Kody Steele,SUB,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Aljamain Sterling vs Youssef Zalal,Aljamain Sterling,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Joselyne Edwards vs Norma Dumont,Joselyne Edwards,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Rafa Garcia vs Alexander Hernandez,Rafa Garcia,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Davey Grant vs Adrian Luna Martinetti,Davey Grant,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Raoni Barcelos vs Montel Jackson,Raoni Barcelos,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Ryan Spann vs Marcus Buchecha,Ryan Spann,KO/TKO,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Eric McConico vs Rodolfo Vieira,Eric McConico,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Jackson McVey vs Sedriques Dumas,Jackson McVey,SUB,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Michelle Montague vs Mayra Bueno Silva,Michelle Montague,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Cody Durden vs Jafel Filho,Cody Durden,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Francis Marshall vs Lucas Brennan,Francis Marshall,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Victor Valenzuela vs Max Griffin,Victor Valenzuela,DEC,—,,—,
UFC Fight Night: Sterling vs. Zalal,2026-04-25,Talita Alencar vs Julia Polastri,Talita Alencar,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Mike Malott vs Gilbert Burns,Mike Malott,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Charles Jourdain vs Kyler Phillips,Charles Jourdain,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Jai Herbert vs Mandel Nallo,Jai Herbert,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Jasmine Jasudavicius vs Karine Silva,Jasmine Jasudavicius,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Gauge Young vs Thiago Moises,Gauge Young,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Marcio Barbosa vs Dennis Buzukja,Marcio Barbosa,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Robert Valentin vs Julien Leblanc,Robert Valentin,SUB,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Gokhan Saricam vs Tanner Boser,Gokhan Saricam,KO/TKO,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,Melissa Croden vs Daria Zhelezniakova,Melissa Croden,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,JJ Aldrich vs Jamey-Lyn Horth,JJ Aldrich,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,John Castaneda vs Mark Vologdin,,DEC,—,,—,
UFC Fight Night: Burns vs. Malott,2026-04-18,John Yannis vs Jamie Siraj,John Yannis,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Carlos Ulberg vs Jiri Prochazka,Carlos Ulberg,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Paulo Costa vs Azamat Murzakanov,Paulo Costa,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Josh Hokit vs Curtis Blaydes,Josh Hokit,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Dominick Reyes vs Johnny Walker,Dominick Reyes,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Cub Swanson vs Nate Landwehr,Cub Swanson,KO/TKO,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Aaron Pico vs Patricio Pitbull,Aaron Pico,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Kevin Holland vs Randy Brown,Kevin Holland,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Mateusz Gamrot vs Esteban Ribovics,Mateusz Gamrot,SUB,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Tatiana Suarez vs Loopy Godinez,Tatiana Suarez,SUB,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Chris Padilla vs MarQuel Mederos,,DEC,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Vicente Luque vs Kelvin Gastelum,Vicente Luque,SUB,—,,—,
UFC 327: Prochazka vs. Ulberg,2026-04-11,Charles Radtke vs Francisco Prado,Charles Radtke,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Renato Moicano vs Chris Duncan,Renato Moicano,SUB,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Virna Jandiroba vs Tabatha Ricci,Virna Jandiroba,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Abdul Rakhman Yakhyaev vs Brendson Ribeiro,Abdul Rakhman Yakhyaev,SUB,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Ethyn Ewing vs Rafael Estevam,Ethyn Ewing,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Tommy McMillen vs Manolo Zecchini,Tommy McMillen,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Jose Delano vs Robert Ruchala,Jose Delano,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Thomas Petersen vs Guilherme Pat,Thomas Petersen,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Alessandro Costa vs Stewart Nicoll,Alessandro Costa,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Darrius Flowers vs Lando Vannata,Darrius Flowers,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Alice Pereira vs Hailey Cowan,Alice Pereira,KO/TKO,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Tresean Gore vs Azamat Bekoev,Tresean Gore,SUB,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Dione Barbosa vs Melissa Gatto,Dione Barbosa,DEC,—,,—,
UFC Fight Night: Moicano vs. Duncan,2026-04-04,Kai Kamaka III vs Dakota Hope,Kai Kamaka III,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Joe Pyfer vs Israel Adesanya,Joe Pyfer,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Alexa Grasso vs Maycee Barber,Alexa Grasso,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Michael Chiesa vs Niko Price,Michael Chiesa,SUB,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Lerryan Douglas vs Julian Erosa,Lerryan Douglas,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Yousri Belgaroui vs Mansur Abdul-Malik,Yousri Belgaroui,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Terrance McKinney vs Kyle Nelson,Terrance McKinney,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Tofiq Musayev vs Ignacio Bahamondes,Tofiq Musayev,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Lance Gibson Jr. vs Chase Hooper,Lance Gibson Jr.,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Tyrell Fortune vs Marcin Tybura,Tyrell Fortune,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Casey O'Neill vs Gabriella Fernandes,Casey O'Neill,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Navajo Stirling vs Bruno Lopes,Navajo Stirling,KO/TKO,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Ricky Simon vs Adrian Yanez,,DEC,—,,—,
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,Alexia Thainara vs Bruna Brasil,Alexia Thainara,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Movsar Evloev vs Lerone Murphy,Movsar Evloev,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Luke Riley vs Michael Aswell Jr.,Luke Riley,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Michael Page vs Sam Patterson,Michael Page,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Iwo Baraniewski vs Austen Lane,Iwo Baraniewski,KO/TKO,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Christian Leroy Duncan vs Roman Dolidze,Christian Leroy Duncan,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Danny Silva vs Kurtis Campbell,Danny Silva,KO/TKO,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Mason Jones vs Axel Sola,Mason Jones,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Nathaniel Wood vs Losene Keita,Nathaniel Wood,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Mario Pinto vs Felipe Franco,Mario Pinto,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Mantas Kondratavicius vs Antonio Trocoli,Mantas Kondratavicius,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Brando Pericic vs Louie Sutherland,Brando Pericic,KO/TKO,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Abdul-Kareem Al-Selwady vs Shem Rock,Abdul-Kareem Al-Selwady,DEC,—,,—,
UFC Fight Night: Evloev vs. Murphy,2026-03-21,Shanelle Dyer vs Ravena Oliveira,Shanelle Dyer,KO/TKO,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Kevin Vallejos vs Josh Emmett,Kevin Vallejos,KO/TKO,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Gillian Robertson vs Amanda Lemos,Gillian Robertson,DEC,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Jose Delgado vs Andre Fili,Jose Delgado,DEC,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Marwan Rahiki vs Harry Hardwick,Marwan Rahiki,KO/TKO,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Ion Cutelaba vs Oumar Sy,Ion Cutelaba,SUB,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Charles Johnson vs Bruno Silva,Charles Johnson,DEC,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Myktybek Orolbai vs Chris Curtis,Myktybek Orolbai,DEC,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Vitor Petrino vs Steven Asplund,Vitor Petrino,DEC,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Elijah Smith vs SuYoung You,Elijah Smith,SUB,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Manoel Sousa vs Bolaji Oki,Manoel Sousa,KO/TKO,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Eryk Anders vs Brad Tavares,Eryk Anders,DEC,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Bia Mesquita vs Montse Rendon,Bia Mesquita,SUB,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Hecher Sosa vs Luan Lacerda,Hecher Sosa,DEC,—,,—,
UFC Fight Night: Emmett vs. Vallejos,2026-03-14,Piera Rodriguez vs Sam Hughes,Piera Rodriguez,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Charles Oliveira vs Max Holloway,Charles Oliveira,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Caio Borralho vs Reinier de Ridder,Caio Borralho,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Raul Rosas Jr. vs Rob Font,Raul Rosas Jr.,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Drew Dober vs Michael Johnson,Drew Dober,KO/TKO,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Gregory Rodrigues vs Brunno Ferreira,Gregory Rodrigues,KO/TKO,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Cody Garbrandt vs Xiao Long,Cody Garbrandt,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Donte Johnson vs Cody Brundage,Donte Johnson,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Alberto Montes vs Ricky Turcios,Alberto Montes,SUB,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Nyamjargal Tumendemberel vs Cody Durden,Nyamjargal Tumendemberel,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Sumudaerji vs Jesus Aguilar,Sumudaerji,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Diyar Nurgozhay vs Rafael Tobias,Diyar Nurgozhay,DEC,—,,—,
UFC 326: Holloway vs. Oliveira 2,2026-03-07,Rodolfo Bellato vs Luke Fernandez,Rodolfo Bellato,KO/TKO,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Lone'er Kavanagh vs Brandon Moreno,Lone'er Kavanagh,DEC,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,David Martinez vs Marlon Vera,David Martinez,DEC,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,King Green vs Daniel Zellhuber,King Green,KO/TKO,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Edgar Chairez vs Felipe Bunes,Edgar Chairez,DEC,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Imanol Rodriguez vs Kevin Borjas,Imanol Rodriguez,KO/TKO,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Santiago Luna vs Angel Pacheco,Santiago Luna,DEC,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Ryan Gandra vs Jose Daniel Medina,Ryan Gandra,KO/TKO,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Ailin Perez vs Macy Chiasson,Ailin Perez,DEC,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Cristian Quinonez vs Kris Moutinho,Cristian Quinonez,DEC,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Javier Reyes vs Douglas Silva de Andrade,Javier Reyes,KO/TKO,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Regina Tarin vs Ernesta Kareckaite,Regina Tarin,DEC,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Francis Marshall vs Erik Silva,Francis Marshall,SUB,—,,—,
UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,Damian Pinas vs Wes Schultz,Damian Pinas,KO/TKO,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Sean Strickland vs Anthony Hernandez,Sean Strickland,KO/TKO,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Uros Medic vs Geoff Neal,Uros Medic,KO/TKO,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Melquizael Costa vs Dan Ige,Melquizael Costa,KO/TKO,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Serghei Spivac vs Ante Delija,Serghei Spivac,DEC,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Jacobe Smith vs Josiah Harrell,Jacobe Smith,KO/TKO,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Michel Pereira vs Zach Reese,Michel Pereira,DEC,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Carlos Leal vs Chidi Njokuani,Carlos Leal,DEC,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Ode Osbourne vs Alibi Idiris,,Overturned,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Alden Coria vs Luis Gurule,Alden Coria,DEC,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Joselyne Edwards vs Nora Cornolle,Joselyne Edwards,SUB,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Punahele Soriano vs Ramiz Brahimaj,Punahele Soriano,DEC,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Jean-Paul Lebosnoyani vs Phil Rowe,Jean-Paul Lebosnoyani,DEC,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Jordan Leavitt vs Yadier del Valle,Jordan Leavitt,DEC,—,,—,
UFC Fight Night: Strickland vs. Hernandez,2026-02-21,Carli Judice vs Juliana Miller,Carli Judice,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Mario Bautista vs Vinicius Oliveira,Mario Bautista,SUB,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Kyoji Horiguchi vs Amir Albazi,Kyoji Horiguchi,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Rizvan Kuniev vs Jailton Almeida,Rizvan Kuniev,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Michal Oleksiejczuk vs Marc-Andre Barriault,Michal Oleksiejczuk,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Farid Basharat vs Jean Matsumoto,Farid Basharat,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Dustin Jacoby vs Julius Walker,Dustin Jacoby,KO/TKO,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Daniil Donchenko vs Alex Morono,Daniil Donchenko,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Nikolay Veretennikov vs Niko Price,Nikolay Veretennikov,KO/TKO,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Ketlen Souza vs Bruna Brasil,Ketlen Souza,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Javid Basharat vs Gianni Vazquez,Javid Basharat,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Wang Cong vs Eduarda Moura,Wang Cong,DEC,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Jakub Wiklacz vs Muin Gafurov,Jakub Wiklacz,SUB,—,,—,
UFC Fight Night: Bautista vs. Oliveira,2026-02-07,Klaudia Sygula vs Priscila Cachoeira,Klaudia Sygula,DEC,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Alexander Volkanovski vs Diego Lopes,Alexander Volkanovski,DEC,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Benoit Saint Denis vs Dan Hooker,Benoit Saint Denis,KO/TKO,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Mauricio Ruffy vs Rafael Fiziev,Mauricio Ruffy,KO/TKO,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Tallison Teixeira vs Tai Tuivasa,Tallison Teixeira,DEC,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Quillan Salkilld vs Jamie Mullarkey,Quillan Salkilld,SUB,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Billy Elekana vs Junior Tafa,Billy Elekana,SUB,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Cam Rowston vs Cody Brundage,Cam Rowston,KO/TKO,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Jacob Malkoun vs Torrez Finney,Jacob Malkoun,DEC,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Jonathan Micallef vs Oban Elliott,Jonathan Micallef,SUB,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Kaan Ofli vs Yizha,Kaan Ofli,DEC,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Dom Mar Fan vs Sangwook Kim,Dom Mar Fan,DEC,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Keiichiro Nakamura vs Sebastian Szalay,Keiichiro Nakamura,KO/TKO,—,,—,
UFC 325: Volkanovski vs. Lopes 2,2026-01-31,Lawrence Lui vs Sulangrangbo,Lawrence Lui,DEC,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Justin Gaethje vs Paddy Pimblett,Justin Gaethje,DEC,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Sean O'Malley vs Song Yadong,Sean O'Malley,DEC,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Waldo Cortes Acosta vs Derrick Lewis,Waldo Cortes Acosta,KO/TKO,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Natalia Silva vs Rose Namajunas,Natalia Silva,DEC,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Jean Silva vs Arnold Allen,Jean Silva,DEC,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Umar Nurmagomedov vs Deiveson Figueiredo,Umar Nurmagomedov,DEC,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Ateba Gautier vs Andrey Pulyaev,Ateba Gautier,DEC,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Nikita Krylov vs Modestas Bukauskas,Nikita Krylov,KO/TKO,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Alex Perez vs Charles Johnson,Alex Perez,KO/TKO,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Josh Hokit vs Denzel Freeman,Josh Hokit,KO/TKO,—,,—,
UFC 324: Gaethje vs. Pimblett,2026-01-24,Ty Miller vs Adam Fugitt,Ty Miller,KO/TKO,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Manel Kape vs Brandon Royval,Manel Kape,KO/TKO,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Kevin Vallejos vs Giga Chikadze,Kevin Vallejos,KO/TKO,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Cezary Oleksiejczuk vs Cesar Almeida,Cezary Oleksiejczuk,DEC,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Melquizael Costa vs Morgan Charriere,Melquizael Costa,KO/TKO,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Kennedy Nzechukwu vs Marcus Buchecha,,DEC,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,King Green vs Lance Gibson Jr.,King Green,DEC,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Yaroslav Amosov vs Neil Magny,Yaroslav Amosov,SUB,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Joanderson Brito vs Isaac Thomson,Joanderson Brito,DEC,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Steven Asplund vs Sean Sharaf,Steven Asplund,KO/TKO,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Luana Santos vs Melissa Croden,Luana Santos,DEC,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Guilherme Pat vs Allen Frye Jr.,Guilherme Pat,DEC,—,,—,
UFC Fight Night: Royval vs. Kape,2025-12-13,Jamey-Lyn Horth vs Tereza Bleda,Jamey-Lyn Horth,KO/TKO,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Petr Yan vs Merab Dvalishvili,Petr Yan,DEC,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Joshua Van vs Alexandre Pantoja,Joshua Van,KO/TKO,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Tatsuro Taira vs Brandon Moreno,Tatsuro Taira,KO/TKO,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Payton Talbott vs Henry Cejudo,Payton Talbott,DEC,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Jan Blachowicz vs Bogdan Guskov,,DEC,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Manuel Torres vs Grant Dawson,Manuel Torres,KO/TKO,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Chris Duncan vs Terrance McKinney,Chris Duncan,SUB,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Maycee Barber vs Karine Silva,Maycee Barber,DEC,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Fares Ziam vs Nazim Sadykhov,Fares Ziam,KO/TKO,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Brunno Ferreira vs Marvin Vettori,Brunno Ferreira,DEC,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Jalin Turner vs Edson Barboza,Jalin Turner,KO/TKO,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Iwo Baraniewski vs Ibo Aslan,Iwo Baraniewski,KO/TKO,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Mansur Abdul-Malik vs Antonio Trocoli,Mansur Abdul-Malik,SUB,—,,—,
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,Mairon Santos vs Muhammad Naimov,Mairon Santos,KO/TKO,—,,—,
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,Arman Tsarukyan vs Dan Hooker,Arman Tsarukyan,SUB,—,,—,
